KOD_POCZTOWY,ADRES,MIEJSCOWOSC,WOJEWODZTWO,POWIAT
35507,ul. Nowosądecka,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35507,ul. Synów Pułku,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35508,ul. Starzyńskiego Stefana,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35509,ul. Obrońców Poczty Gdańskiej,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35510,ul. Ślusarczyka Franciszka,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35511,ul. Prymasa Tysiąclecia,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35512,ul. Świętego Maksymiliana Marii Kolbego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35513,ul. Kapitana Raginisa Władysława,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35515,"Poczta Rzeszów 017, ul. Starzyńskiego 2",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35601,ul. Ćwiklińskiej Mieczysławy,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35601,ul. Robotnicza,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35601,ul. Spacerowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35601,ul. Zelwerowicza Aleksandra,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35602,ul. Czajkowskiego Piotra,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35602,ul. Herberta Zbigniewa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35602,"ul. Kiepury Jana od nr 1 do 88, od nr 90 do ostatniego, od 91 do ostatniego",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35602,ul. Osterwy Juliusza,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35602,ul. Siemaszkowej Wandy,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35602,ul. Smosarskiej Jadwigi,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35603,ul. Dunikowskiego Xawerego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35603,ul. Wieniawskiego Henryka od nr 60 do ostatniego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Azaliowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Daliowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Fiołkowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Forsycji,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Frezji,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Goździkowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Irysowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Jaśminowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Kaczeńcowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Kaktusowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Konwalii,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Krokusowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Magnolii,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Malwowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Mieczykowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Nagietkowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Nasturcji,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Niezapominajek,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Pelargonii,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Piwonii,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Rumiankowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Słonecznikowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Sasanki,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Stokrotek,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Storczykowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Szarotkowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Tulipanowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Łukasiewicza Ignacego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35604,ul. Wrzosowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35605,ul. Bławatkowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35605,ul. Lawendowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35605,ul. Zawilcowa,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35605,ul. Zimowit,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35606,ul. Powstańców Listopadowych,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35607,ul. Karpa Karola,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35607,ul. Powstańców Styczniowych,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35607,ul. Skorupki Ignacego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35608,ul. Jasińskiego Jakuba,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35609,ul. Kombatantów,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35610,ul. Powstańców Śląskich,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35611,ul. Powstańców Wielkopolskich,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35612,ul. Władysława Warneńczyka,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35614,ul. Jana Olbrachta,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35614,ul. Kazimierza Odnowiciela,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35615,ul. Leszka Czarnego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35616,ul. Królewska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35617,ul. Aleksandra Jagiellończyka,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35617,ul. Władysława IV,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35620,ul. Kurpiowska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35620,ul. Małopolska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35620,ul. Mazurska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35622,ul. Podhalańska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35623,ul. Anny Jagiellonki,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35624,ul. Bolesława Śmiałego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35625,ul. Książęca,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35626,ul. Królowej Bony,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35627,ul. Henryka Pobożnego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35628,ul. Królowej Marysieńki,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35629,ul. Zygmunta I Starego,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35630,ul. Saska,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35749,Instytucja Przedstawicielstwo Operacyjne CUP,Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35900,"Poczta Rzeszów 002, ul. Asnyka 9",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
35959,"Instytucja Rejonowy Urząd Poczty w Rzeszowie, ul. Asnyka 9",Rzeszów,podkarpackie,Miasto Rzeszów na prawach powiatu
36001,Poczta Trzebownisko,Trzebownisko,podkarpackie,Powiat rzeszowski
36002,Poczta Jasionka koło Rzeszowa,Jasionka,podkarpackie,Powiat rzeszowski
36003,Poczta Przewrotne,Przewrotne,podkarpackie,Powiat rzeszowski
36004,Poczta Łąka koło Rzeszowa,Łąka,podkarpackie,Powiat rzeszowski
36007,Poczta Krasne koło Rzeszowa,Krasne,podkarpackie,Powiat rzeszowski
36016,Poczta Chmielnik koło Rzeszowa,Chmielnik,podkarpackie,Powiat rzeszowski
36017,Poczta Filia UP Chmielnik,Błędowa Tyczyńska,podkarpackie,Powiat rzeszowski
36020,Poczta Tyczyn,Tyczyn,podkarpackie,Powiat rzeszowski
36020,Skrytki Pocztowe Poczta Tyczyn,Tyczyn,podkarpackie,Powiat rzeszowski
36021,Poczta Filia UP Tyczyn,Budziwój,podkarpackie,Powiat rzeszowski
36024,Poczta Hyżne koło Dynowa,Hyżne,podkarpackie,Powiat rzeszowski
36025,Poczta Dylągówka,Dylągówka,podkarpackie,Powiat rzeszowski
36030,Poczta Błażowa Rzeszowska,Błażowa,podkarpackie,Powiat rzeszowski
36030,Skrytki Pocztowe Poczta Błażowa Rzeszowska,Błażowa,podkarpackie,Powiat rzeszowski
36032,Poczta Kąkolówka agencja pocztowa UP Błażowa Rzeszowska,Kąkolówka,podkarpackie,Powiat rzeszowski
36034,Poczta Futoma agencja pocztowa UP Błażowa Rzeszowska,Futoma,podkarpackie,Powiat rzeszowski
36040,Poczta Boguchwała,Boguchwała,podkarpackie,Powiat rzeszowski
36041,Poczta Zarzecze agencja pocztowa UP Boguchwała,Zarzecze,podkarpackie,Powiat rzeszowski
36042,Poczta Lubenia,Lubenia,podkarpackie,Powiat rzeszowski
36043,Poczta Filia UP Lubenia,Straszydle,podkarpackie,Powiat rzeszowski
36046,Poczta Zgłobień,Zgłobień,podkarpackie,Powiat rzeszowski
36047,Poczta Niechobrz,Niechobrz,podkarpackie,Powiat rzeszowski
36050,Poczta Sokołów Małopolski,Sokołów Małopolski,podkarpackie,Powiat rzeszowski
36051,Poczta Górno koło Rzeszowa,Górno,podkarpackie,Powiat rzeszowski
36052,Poczta Nienadówka,Nienadówka,podkarpackie,Powiat rzeszowski
36053,Poczta Kamień koło Rudnika nad Sanem,Kamień,podkarpackie,Powiat rzeszowski
36054,Poczta Mrowla,Mrowla,podkarpackie,Powiat rzeszowski
36055,Poczta Bratkowice,Bratkowice,podkarpackie,Powiat rzeszowski
36060,Poczta Głogów Małopolski,Głogów Małopolski,podkarpackie,Powiat rzeszowski
36061,Poczta Wysoka koło Rzeszowa,Harta,podkarpackie,Powiat rzeszowski
36062,Poczta Zaczernie,Zaczernie,podkarpackie,Powiat rzeszowski
36065,Poczta Dynów,Dynów,podkarpackie,Powiat rzeszowski
36065,Skrytki Pocztowe Poczta Dynów,Dynów,podkarpackie,Powiat rzeszowski
40823,"ul. Daszyńskiego Ignacego od 2 do 18, od 1 do 17",Katowice,śląskie,Miasto Katowice na prawach powiatu
40824,ul. Kwiatkowskiego Eugeniusza,Katowice,śląskie,Miasto Katowice na prawach powiatu
40826,ul. Grabskiego Władysława,Katowice,śląskie,Miasto Katowice na prawach powiatu
40831,"ul. Witosa Wincentego od 52 do 62, od 51 do 63",Katowice,śląskie,Miasto Katowice na prawach powiatu
40832,"ul. Witosa Wincentego od 2 do 50, od 1 do 49",Katowice,śląskie,Miasto Katowice na prawach powiatu
40833,ul. Dulęby Henryka,Katowice,śląskie,Miasto Katowice na prawach powiatu
40833,ul. Obroki,Katowice,śląskie,Miasto Katowice na prawach powiatu
40833,ul. Sławka Walerego,Katowice,śląskie,Miasto Katowice na prawach powiatu
40834,"ul. Daszyńskiego Ignacego od 20 do ostatniego, od 19 do ostatniego",Katowice,śląskie,Miasto Katowice na prawach powiatu
40836,ul. Bardowskiego Piotra,Katowice,śląskie,Miasto Katowice na prawach powiatu
40837,ul. Rataja Macieja,Katowice,śląskie,Miasto Katowice na prawach powiatu
40841,ul. Mościckiego Ignacego,Katowice,śląskie,Miasto Katowice na prawach powiatu
40842,ul. Pietrusińskiego Jana,Katowice,śląskie,Miasto Katowice na prawach powiatu
40843,ul. Ossowskiego Michała,Katowice,śląskie,Miasto Katowice na prawach powiatu
40844,ul. Kossutha Stanisława,Katowice,śląskie,Miasto Katowice na prawach powiatu
40845,ul. Chodnikowa,Katowice,śląskie,Miasto Katowice na prawach powiatu
40846,ul. Wyciągowa,Katowice,śląskie,Miasto Katowice na prawach powiatu
40846,ul. Ścianowa,Katowice,śląskie,Miasto Katowice na prawach powiatu
40847,"ul. Bocheńskiego Jana od 54 do 78, od 55 do 95",Katowice,śląskie,Miasto Katowice na prawach powiatu
40847,ul. Pukowca Józefa,Katowice,śląskie,Miasto Katowice na prawach powiatu
40848,ul. Kolońska,Katowice,śląskie,Miasto Katowice na prawach powiatu
40850,ul. 18 Sierpnia,Katowice,śląskie,Miasto Katowice na prawach powiatu
40850,ul. Bogusławskiego Wojciecha,Katowice,śląskie,Miasto Katowice na prawach powiatu
40850,ul. Narutowicza Gabriela,Katowice,śląskie,Miasto Katowice na prawach powiatu
40851,ul. Żelazna,Katowice,śląskie,Miasto Katowice na prawach powiatu
40852,ul. Ledóchowskiego Macieja,Katowice,śląskie,Miasto Katowice na prawach powiatu
40852,ul. Macieja,Katowice,śląskie,Miasto Katowice na prawach powiatu
40852,ul. Pośpiecha Pawła,Katowice,śląskie,Miasto Katowice na prawach powiatu
40853,"ul. Gliwicka od 24 do 46, od 21 do 65",Katowice,śląskie,Miasto Katowice na prawach powiatu
40854,"ul. Gliwicka od 48 do 90, od 67 do 109",Katowice,śląskie,Miasto Katowice na prawach powiatu
40854,ul. Marcina,Katowice,śląskie,Miasto Katowice na prawach powiatu
40854,ul. Zarębskiego Juliusza,Katowice,śląskie,Miasto Katowice na prawach powiatu
40855,ul. Anioła Franciszka,Katowice,śląskie,Miasto Katowice na prawach powiatu
40855,"ul. Gliwicka od 92 do 104, od 111 do 127",Katowice,śląskie,Miasto Katowice na prawach powiatu
40855,ul. Gminna,Katowice,śląskie,Miasto Katowice na prawach powiatu
40855,ul. Janasa Wincentego,Katowice,śląskie,Miasto Katowice na prawach powiatu
40855,ul. Szewczenki Tarasa,Katowice,śląskie,Miasto Katowice na prawach powiatu
40856,"Poczta Katowice 004, ul. Gliwicka 127",Katowice,śląskie,Miasto Katowice na prawach powiatu
40856,"Skrytki Pocztowe Poczta Katowice 004, ul. Gliwicka 127",Katowice,śląskie,Miasto Katowice na prawach powiatu
40857,Pl. Księdza Londzina Józefa,Katowice,śląskie,Miasto Katowice na prawach powiatu
40857,"ul. Gliwicka od 106 do 142, od 129 do 163",Katowice,śląskie,Miasto Katowice na prawach powiatu
40857,ul. Klimczoka,Katowice,śląskie,Miasto Katowice na prawach powiatu
40857,ul. Ondraszka,Katowice,śląskie,Miasto Katowice na prawach powiatu
40857,ul. Wolnego Józefa,Katowice,śląskie,Miasto Katowice na prawach powiatu
40857,ul. Zamułkowa,Katowice,śląskie,Miasto Katowice na prawach powiatu
40858,ul. Bracka,Katowice,śląskie,Miasto Katowice na prawach powiatu
40859,"ul. Bocheńskiego Jana od 2 do 52, od 1 do 53",Katowice,śląskie,Miasto Katowice na prawach powiatu
40859,"ul. Gliwicka od 144 do 162, od 165 do 191",Katowice,śląskie,Miasto Katowice na prawach powiatu
40859,ul. Kupca Jana,Katowice,śląskie,Miasto Katowice na prawach powiatu
40859,ul. Pokoju,Katowice,śląskie,Miasto Katowice na prawach powiatu
40859,ul. Tokarska,Katowice,śląskie,Miasto Katowice na prawach powiatu
40859,ul. Wolskiego Michała,Katowice,śląskie,Miasto Katowice na prawach powiatu
40860,"ul. Gliwicka od 164 do 234, od 193 do 235",Katowice,śląskie,Miasto Katowice na prawach powiatu
40860,ul. Lelewela Joachima,Katowice,śląskie,Miasto Katowice na prawach powiatu
40860,ul. Lisa,Katowice,śląskie,Miasto Katowice na prawach powiatu
40860,ul. Wyplera Jana,Katowice,śląskie,Miasto Katowice na prawach powiatu
40860,ul. Ślusarska,Katowice,śląskie,Miasto Katowice na prawach powiatu
40861,ul. Skrzeka Józefa,Katowice,śląskie,Miasto Katowice na prawach powiatu
40861,ul. Wiśniowa,Katowice,śląskie,Miasto Katowice na prawach powiatu
40862,ul. Badury Szymona,Katowice,śląskie,Miasto Katowice na prawach powiatu
40862,ul. Borysa Szymona,Katowice,śląskie,Miasto Katowice na prawach powiatu
40862,ul. Ciemały Józefa,Katowice,śląskie,Miasto Katowice na prawach powiatu
40862,ul. Czoiki Leopolda,Katowice,śląskie,Miasto Katowice na prawach powiatu
40862,"ul. Gliwicka od 236 do ostatniego, od 237 do ostatniego",Katowice,śląskie,Miasto Katowice na prawach powiatu
40862,ul. Kempki Roberta,Katowice,śląskie,Miasto Katowice na prawach powiatu
40863,ul. Cholewy Jerzego,Katowice,śląskie,Miasto Katowice na prawach powiatu
40863,ul. Dudka Franciszka,Katowice,śląskie,Miasto Katowice na prawach powiatu
40863,ul. Grządziela Jakuba,Katowice,śląskie,Miasto Katowice na prawach powiatu
40863,ul. Koczeby Jana,Katowice,śląskie,Miasto Katowice na prawach powiatu
40863,ul. Mamoka Macieja,Katowice,śląskie,Miasto Katowice na prawach powiatu
40863,ul. Musialika Piotra,Katowice,śląskie,Miasto Katowice na prawach powiatu
40863,ul. Piechy Józefa,Katowice,śląskie,Miasto Katowice na prawach powiatu
40865,ul. Trasa imienia Nikodema i Józefa Renców od 1 do ostatniego,Katowice,śląskie,Miasto Katowice na prawach powiatu
40866,ul. Piastów od 1 do 15,Katowice,śląskie,Miasto Katowice na prawach powiatu
40867,ul. Piastów od 17 do ostatniego,Katowice,śląskie,Miasto Katowice na prawach powiatu
40868,ul. Piastów od 2 do 26,Katowice,śląskie,Miasto Katowice na prawach powiatu
40869,ul. Piastów od 28 do ostatniego,Katowice,śląskie,Miasto Katowice na prawach powiatu
40870,Al. Bolesława Krzywoustego,Katowice,śląskie,Miasto Katowice na prawach powiatu
40871,"Poczta Katowice 038, ul. Tysiąclecia 90",Katowice,śląskie,Miasto Katowice na prawach powiatu
40871,ul. Tysiąclecia od 2 do ostatniego,Katowice,śląskie,Miasto Katowice na prawach powiatu
40872,ul. Zawiszy Czarnego,Katowice,śląskie,Miasto Katowice na prawach powiatu
41218,ul. Katowicka,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41218,ul. Kleberga Franciszka,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41218,ul. Klonowa,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41218,ul. Kolbe Maksymiliana,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41218,ul. Kolejowa,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41218,ul. Kolonia Pod Klimontowem,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,Al. Paderewskiego Ignacego,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,Al. Wolności,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,"Poczta Sosnowiec 019, ul. Lenartowicza 8",Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,"Skrytki Pocztowe Poczta Sosnowiec 019, ul. Lenartowicza 8",Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. 11 Listopada od 135 do ostatniego,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Błotna,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Bajana Jerzego,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Banacha Stefana,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Białostocka,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Bohaterów Getta,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Bohaterów Monte Cassino,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Bolesława Chrobrego,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Bolesława Krzywoustego,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Braci Mieroszewskich,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Braci Śliwów,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Braci Śniadeckich,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Chełmońskiego Józefa,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Cichopka Wincentego,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Cienista,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Czereśniowa,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Długosza Jana,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Dmowskiego Romana,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Domańskiego Franciszka,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Dworska,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Dzielna,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Dzika,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Frankiewicza Antoniego,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Górników,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Generała Komorowskiego Tadeusza Bora,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Generała Wybickiego Józefa,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Generała Zaruskiego Mariusza,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Goszczyńskiego Seweryna,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Grottgera Artura,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Indyki,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Infelda Leoparda,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Józefowska,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Jarosza Franciszka,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Jędryczki Stefana,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Kaczeńców,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Kalagi Ignacego,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Kamienna,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Kasprzaka Marcina,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Kazimierza Wielkiego,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Kielecka,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Kisielewskiego Stefana,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Kochanowskiego Jana,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Kolonia Baraki,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Komuny Paryskiej,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Konopnickiej Marii,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Kossaka Juliusza,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Kosynierów,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Koszalińska,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Kota Wincentego,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Kowalskiego Piotra,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41219,ul. Kępa,Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
41220,"Poczta Sosnowiec 020, ul. Koszalińska 23",Sosnowiec,śląskie,Miasto Sosnowiec na prawach powiatu
